epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.5746137499809265,0.7745020985603333,0.00019999999494757503,1.1028434038162231,0.4117647111415863,0.6184883117675781,3.1975457668304443
1,0.6814003586769104,0.8829866051673889,0.00019999999494757503,0.6826685667037964,0.6279069781303406,0.8034985661506653,1.5727158784866333
2,0.7418345212936401,0.920169472694397,0.00019999999494757503,0.5285124182701111,0.5690834522247314,0.7307783961296082,3.082312822341919
3,0.768042266368866,0.9355860352516174,0.00019999999494757503,0.4589178264141083,0.6580027341842651,0.8318729400634766,1.465505838394165
4,0.7836886644363403,0.9445791840553284,0.00019999999494757503,0.4180191159248352,0.6675786375999451,0.8508915901184082,1.0688410997390747
5,0.7995306253433228,0.9503254890441895,0.00019999999494757503,0.40199336409568787,0.7181942462921143,0.8893360495567322,0.8377148509025574
6,0.8065714836120605,0.9560304880142212,0.00019999999494757503,0.373565673828125,0.7277701497077942,0.9038379192352295,0.7446503043174744
7,0.8167416453361511,0.961102306842804,0.00019999999494757503,0.34355729818344116,0.7387140989303589,0.9144155979156494,0.6188411712646484
8,0.8241736888885498,0.964590311050415,0.00019999999494757503,0.3313829302787781,0.7441860437393188,0.9169760942459106,0.6161675453186035
9,0.8321924209594727,0.9664433002471924,0.00019999999494757503,0.3205054700374603,0.7373461127281189,0.9067184329032898,0.777708113193512
10,0.8353217244148254,0.9685531258583069,0.00019999999494757503,0.3075600862503052,0.6908344626426697,0.9108692407608032,0.5273517370223999
11,0.8392333388328552,0.9695395231246948,0.00019999999494757503,0.30407994985580444,0.6621066927909851,0.8925323486328125,0.6162498593330383
12,0.8400156497955322,0.9694865942001343,0.00019999999494757503,0.30574390292167664,0.6812585592269897,0.9133694767951965,0.4995756447315216
13,0.8402112126350403,0.9716212153434753,0.00019999999494757503,0.2951449453830719,0.6470588445663452,0.8756074905395508,0.6125872731208801
14,0.8464697599411011,0.9728109836578369,0.00019999999494757503,0.28520655632019043,0.6894664764404297,0.9035834670066833,0.5368356108665466
15,0.8560531735420227,0.9755383133888245,0.00019999999494757503,0.2724393606185913,0.6908344626426697,0.9034677147865295,0.533276379108429
16,0.8406023979187012,0.9703443646430969,0.00019999999494757503,0.3006711006164551,0.6867305040359497,0.9047306180000305,0.5757204294204712
17,0.8568355441093445,0.976512610912323,0.00019999999494757503,0.2637358009815216,0.6880984902381897,0.9008124470710754,0.564509928226471
18,0.8546841144561768,0.9756682515144348,0.00019999999494757503,0.2634436786174774,0.6675786375999451,0.8995338082313538,0.5542265772819519
19,0.8666145205497742,0.9807705879211426,9.999999747378752e-05,0.2313050925731659,0.6785225868225098,0.9011829495429993,0.5938424468040466
20,0.874437689781189,0.9820880889892578,9.999999747378752e-05,0.2250974178314209,0.6716826558113098,0.9008615612983704,0.6125270128250122
21,0.8783493041992188,0.9834296107292175,9.999999747378752e-05,0.21385064721107483,0.6812585592269897,0.9037397503852844,0.6361268758773804
22,0.8718951940536499,0.9819122552871704,9.999999747378752e-05,0.22559240460395813,0.6634746789932251,0.9047788381576538,0.618496835231781
23,0.8687658905982971,0.9823166728019714,9.999999747378752e-05,0.21799755096435547,0.6785225868225098,0.9036404490470886,0.6860397458076477
